,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
0,3,256,256,64,0.75,2,0 days 00:00:00.651059,0 days 00:00:42.154626,86.2,85.6,60
1,3,256,256,64,0.75,3,0 days 00:00:00.651059,0 days 00:00:29.059472,79.2,72.8,38
2,3,256,256,64,0.75,5,0 days 00:00:00.651059,0 days 00:00:42.735736,84.4,81.6,64
3,3,256,256,128,0.5,2,0 days 00:00:00.059708,0 days 00:00:30.984641,80.6,77.2,40
4,3,256,256,128,0.5,3,0 days 00:00:00.059708,0 days 00:00:36.420469,83.0,84.2,47
5,3,256,256,128,0.5,5,0 days 00:00:00.059708,0 days 00:00:37.844095,83.4,80.2,62
6,3,256,256,192,0.25,2,0 days 00:00:00.058590,0 days 00:00:24.328342,83.2,82.0,41
7,3,256,256,192,0.25,3,0 days 00:00:00.058590,0 days 00:00:32.444216,85.6,84.2,49
8,3,256,256,192,0.25,5,0 days 00:00:00.058590,0 days 00:00:38.102464,88.2,87.6,55
9,3,512,256,64,0.75,2,0 days 00:00:00.065918,0 days 00:00:30.487908,68.2,75.6,38
10,3,512,256,64,0.75,3,0 days 00:00:00.065918,0 days 00:00:27.836413,84.6,84.4,40
11,3,512,256,64,0.75,5,0 days 00:00:00.065918,0 days 00:00:24.150371,85.6,84.8,36
12,3,512,256,128,0.5,2,0 days 00:00:00.059252,0 days 00:00:20.187461,72.6,78.4,34
13,3,512,256,128,0.5,3,0 days 00:00:00.059252,0 days 00:00:21.487791,85.4,84.6,30
14,3,512,256,128,0.5,5,0 days 00:00:00.059252,0 days 00:00:23.224571,88.0,87.4,28
15,3,512,256,192,0.25,2,0 days 00:00:00.059297,0 days 00:00:31.049888,84.8,84.0,43
16,3,512,256,192,0.25,3,0 days 00:00:00.059297,0 days 00:00:29.935229,85.0,85.0,34
17,3,512,256,192,0.25,5,0 days 00:00:00.059297,0 days 00:00:22.608228,85.2,85.2,31
18,3,512,512,128,0.75,2,0 days 00:00:00.060705,0 days 00:00:26.629573,84.0,83.0,36
19,3,512,512,128,0.75,3,0 days 00:00:00.060705,0 days 00:00:32.478506,88.0,87.6,42
20,3,512,512,128,0.75,5,0 days 00:00:00.060705,0 days 00:00:20.812604,87.0,86.4,27
21,3,512,512,256,0.5,2,0 days 00:00:00.058125,0 days 00:00:28.167462,86.4,85.8,38
22,3,512,512,256,0.5,3,0 days 00:00:00.058125,0 days 00:00:25.231668,85.0,84.2,33
23,3,512,512,256,0.5,5,0 days 00:00:00.058125,0 days 00:00:25.149969,89.6,89.0,35
24,3,512,512,384,0.25,2,0 days 00:00:00.055671,0 days 00:00:20.388491,83.4,83.2,29
25,3,512,512,384,0.25,3,0 days 00:00:00.055671,0 days 00:00:21.412756,88.2,87.2,30
26,3,512,512,384,0.25,5,0 days 00:00:00.055671,0 days 00:00:22.108614,88.4,87.8,33
27,3,1024,256,64,0.75,2,0 days 00:00:00.072654,0 days 00:00:33.986816,70.0,77.4,40
28,3,1024,256,64,0.75,3,0 days 00:00:00.072654,0 days 00:00:24.324830,83.0,83.4,34
29,3,1024,256,64,0.75,5,0 days 00:00:00.072654,0 days 00:00:17.644310,81.8,82.0,25
30,3,1024,256,128,0.5,2,0 days 00:00:00.063877,0 days 00:00:28.227524,82.4,82.2,38
31,3,1024,256,128,0.5,3,0 days 00:00:00.063877,0 days 00:00:23.984954,81.2,77.8,31
32,3,1024,256,128,0.5,5,0 days 00:00:00.063877,0 days 00:00:21.397177,87.0,86.0,29
33,3,1024,256,192,0.25,2,0 days 00:00:00.060488,0 days 00:00:29.491417,84.2,83.6,40
34,3,1024,256,192,0.25,3,0 days 00:00:00.060488,0 days 00:00:24.458313,86.2,85.4,32
35,3,1024,256,192,0.25,5,0 days 00:00:00.060488,0 days 00:00:20.290253,87.4,86.6,26
36,3,1024,512,128,0.75,2,0 days 00:00:00.063436,0 days 00:00:29.193653,84.8,84.6,38
37,3,1024,512,128,0.75,3,0 days 00:00:00.063436,0 days 00:00:26.917534,86.4,85.6,39
38,3,1024,512,128,0.75,5,0 days 00:00:00.063436,0 days 00:00:16.367925,86.8,86.2,23
39,3,1024,512,256,0.5,2,0 days 00:00:00.060503,0 days 00:00:33.385171,86.6,86.2,44
40,3,1024,512,256,0.5,3,0 days 00:00:00.060503,0 days 00:00:23.584015,87.0,86.8,28
41,3,1024,512,256,0.5,5,0 days 00:00:00.060503,0 days 00:00:18.839710,87.6,86.6,24
42,3,1024,512,384,0.25,2,0 days 00:00:00.057879,0 days 00:00:25.165106,86.6,85.6,33
43,3,1024,512,384,0.25,3,0 days 00:00:00.057879,0 days 00:00:26.768166,89.0,88.6,38
44,3,1024,512,384,0.25,5,0 days 00:00:00.057879,0 days 00:00:21.289663,89.2,88.4,34
45,3,1024,1024,256,0.75,2,0 days 00:00:00.060329,0 days 00:00:34.090729,84.8,84.2,43
46,3,1024,1024,256,0.75,3,0 days 00:00:00.060329,0 days 00:00:25.367994,88.0,87.6,30
47,3,1024,1024,256,0.75,5,0 days 00:00:00.060329,0 days 00:00:14.611634,87.8,87.2,21
48,3,1024,1024,512,0.5,2,0 days 00:00:00.057736,0 days 00:00:24.738314,85.6,84.8,31
49,3,1024,1024,512,0.5,3,0 days 00:00:00.057736,0 days 00:00:24.945416,88.8,88.0,32
50,3,1024,1024,512,0.5,5,0 days 00:00:00.057736,0 days 00:00:23.402518,89.8,89.4,32
51,3,1024,1024,768,0.25,2,0 days 00:00:00.057328,0 days 00:00:20.677838,85.8,85.0,29
52,3,1024,1024,768,0.25,3,0 days 00:00:00.057328,0 days 00:00:29.483110,90.6,90.4,48
53,3,1024,1024,768,0.25,5,0 days 00:00:00.057328,0 days 00:00:29.809405,91.8,91.4,47
54,3,2048,256,64,0.75,2,0 days 00:00:00.086435,0 days 00:00:32.308790,81.8,81.8,44
