,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
0,3,256,256,64,0.75,2,0 days 00:00:00.042949,0 days 00:00:49.199281,81.2,80.6,60
1,3,256,256,64,0.75,3,0 days 00:00:00.042949,0 days 00:00:38.626010,79.0,72.4,41
2,3,256,256,64,0.75,5,0 days 00:00:00.042949,0 days 00:00:31.501420,81.4,85.0,39
3,3,256,256,128,0.5,2,0 days 00:00:00.041240,0 days 00:00:37.021762,57.2,68.4,43
4,3,256,256,128,0.5,3,0 days 00:00:00.041240,0 days 00:00:48.157214,77.8,79.2,42
5,3,256,256,128,0.5,5,0 days 00:00:00.041240,0 days 00:01:01.889366,86.0,84.0,54
6,3,256,256,192,0.25,2,0 days 00:00:00.037766,0 days 00:01:06.923002,85.0,82.8,67
7,3,256,256,192,0.25,3,0 days 00:00:00.037766,0 days 00:01:08.308544,83.4,82.4,55
8,3,256,256,192,0.25,5,0 days 00:00:00.037766,0 days 00:01:43.419921,95.2,95.2,80
9,3,512,256,64,0.75,2,0 days 00:00:00.045559,0 days 00:00:11.401934,56.8,70.0,21
10,3,512,256,64,0.75,3,0 days 00:00:00.045559,0 days 00:01:06.976907,88.2,89.2,55
11,3,512,256,64,0.75,5,0 days 00:00:00.045559,0 days 00:01:12.789920,96.6,96.6,76
12,3,512,256,128,0.5,2,0 days 00:00:00.040946,0 days 00:00:12.140477,66.8,73.6,30
13,3,512,256,128,0.5,3,0 days 00:00:00.040946,0 days 00:01:41.945153,96.8,96.8,75
14,3,512,256,128,0.5,5,0 days 00:00:00.040946,0 days 00:01:33.149741,98.2,98.2,80
15,3,512,256,192,0.25,2,0 days 00:00:00.039803,0 days 00:00:38.296377,79.6,82.8,47
16,3,512,256,192,0.25,3,0 days 00:00:00.039803,0 days 00:02:05.056093,93.8,93.8,80
17,3,512,256,192,0.25,5,0 days 00:00:00.039803,0 days 00:01:34.107763,91.8,92.4,67
18,3,512,512,128,0.75,2,0 days 00:00:00.040175,0 days 00:00:23.955200,78.2,80.6,33
19,3,512,512,128,0.75,3,0 days 00:00:00.040175,0 days 00:00:58.806433,87.4,88.0,53
20,3,512,512,128,0.75,5,0 days 00:00:00.040175,0 days 00:01:47.804662,97.8,97.8,80
21,3,512,512,256,0.5,2,0 days 00:00:00.037303,0 days 00:00:09.829043,61.8,73.2,19
22,3,512,512,256,0.5,3,0 days 00:00:00.037303,0 days 00:01:12.760580,88.8,89.0,72
23,3,512,512,256,0.5,5,0 days 00:00:00.037303,0 days 00:01:48.109313,95.4,95.8,80
24,3,512,512,384,0.25,2,0 days 00:00:00.036460,0 days 00:01:18.744853,84.6,85.8,77
25,3,512,512,384,0.25,3,0 days 00:00:00.036460,0 days 00:01:43.964431,91.0,91.8,79
26,3,512,512,384,0.25,5,0 days 00:00:00.036460,0 days 00:01:32.238929,93.6,94.2,79
27,3,1024,256,64,0.75,2,0 days 00:00:00.051794,0 days 00:00:31.649164,64.6,76.0,32
28,3,1024,256,64,0.75,3,0 days 00:00:00.051794,0 days 00:00:21.062045,78.6,82.0,27
29,3,1024,256,64,0.75,5,0 days 00:00:00.051794,0 days 00:01:39.043802,97.0,97.0,78
30,3,1024,256,128,0.5,2,0 days 00:00:00.043542,0 days 00:00:27.369564,77.0,79.0,37
31,3,1024,256,128,0.5,3,0 days 00:00:00.043542,0 days 00:01:06.249163,83.8,84.6,44
32,3,1024,256,128,0.5,5,0 days 00:00:00.043542,0 days 00:02:03.229476,98.2,98.2,80
33,3,1024,256,192,0.25,2,0 days 00:00:00.040977,0 days 00:00:22.954319,65.0,73.8,29
34,3,1024,256,192,0.25,3,0 days 00:00:00.040977,0 days 00:01:35.540321,89.2,89.2,67
35,3,1024,256,192,0.25,5,0 days 00:00:00.040977,0 days 00:01:40.888931,95.4,95.6,80
36,3,1024,512,128,0.75,2,0 days 00:00:00.043515,0 days 00:00:08.396820,70.2,70.6,17
37,3,1024,512,128,0.75,3,0 days 00:00:00.043515,0 days 00:01:09.699262,87.0,88.2,55
38,3,1024,512,128,0.75,5,0 days 00:00:00.043515,0 days 00:01:47.401915,99.0,99.0,80
39,3,1024,512,256,0.5,2,0 days 00:00:00.039950,0 days 00:00:22.405783,52.6,69.6,29
40,3,1024,512,256,0.5,3,0 days 00:00:00.039950,0 days 00:02:05.902213,90.0,90.2,80
41,3,1024,512,256,0.5,5,0 days 00:00:00.039950,0 days 00:01:56.344742,96.4,96.4,80
42,3,1024,512,384,0.25,2,0 days 00:00:00.038024,0 days 00:01:24.055310,86.2,86.0,73
43,3,1024,512,384,0.25,3,0 days 00:00:00.038024,0 days 00:01:55.223237,93.0,93.2,80
44,3,1024,512,384,0.25,5,0 days 00:00:00.038024,0 days 00:01:21.007122,94.0,94.4,77
45,3,1024,1024,256,0.75,2,0 days 00:00:00.041456,0 days 00:00:11.538786,76.8,80.6,20
46,3,1024,1024,256,0.75,3,0 days 00:00:00.041456,0 days 00:00:37.184215,82.8,84.2,42
47,3,1024,1024,256,0.75,5,0 days 00:00:00.041456,0 days 00:01:55.293527,96.2,96.4,80
48,3,1024,1024,512,0.5,2,0 days 00:00:00.038156,0 days 00:01:03.163163,84.4,84.4,54
49,3,1024,1024,512,0.5,3,0 days 00:00:00.038156,0 days 00:01:46.162503,94.0,94.6,80
50,3,1024,1024,512,0.5,5,0 days 00:00:00.038156,0 days 00:01:35.341734,93.0,93.8,76
51,3,1024,1024,768,0.25,2,0 days 00:00:00.037792,0 days 00:00:53.294482,83.4,86.0,51
52,3,1024,1024,768,0.25,3,0 days 00:00:00.037792,0 days 00:01:55.092342,92.6,92.2,66
53,3,1024,1024,768,0.25,5,0 days 00:00:00.037792,0 days 00:01:20.105301,93.0,93.8,70
54,3,2048,256,64,0.75,2,0 days 00:00:00.073171,0 days 00:00:31.362885,59.8,72.4,36
55,3,2048,256,64,0.75,3,0 days 00:00:00.073171,0 days 00:01:13.970720,84.2,88.0,56
56,3,2048,256,64,0.75,5,0 days 00:00:00.073171,0 days 00:01:16.748401,88.6,90.0,56
57,3,2048,256,128,0.5,2,0 days 00:00:00.054749,0 days 00:00:09.430919,63.4,72.4,18
58,3,2048,256,128,0.5,3,0 days 00:00:00.054749,0 days 00:01:42.114147,86.6,90.4,66
59,3,2048,256,128,0.5,5,0 days 00:00:00.054749,0 days 00:01:41.781206,93.6,94.4,69
60,3,2048,256,192,0.25,2,0 days 00:00:00.049555,0 days 00:00:50.099635,71.4,78.4,42
61,3,2048,256,192,0.25,3,0 days 00:00:00.049555,0 days 00:00:59.488487,81.0,83.2,42
62,3,2048,256,192,0.25,5,0 days 00:00:00.049555,0 days 00:02:03.557965,94.2,94.6,80
63,3,2048,512,128,0.75,2,0 days 00:00:00.055147,0 days 00:00:09.971531,75.6,74.0,17
64,3,2048,512,128,0.75,3,0 days 00:00:00.055147,0 days 00:02:16.308956,96.8,96.8,80
65,3,2048,512,128,0.75,5,0 days 00:00:00.055147,0 days 00:02:04.831246,99.0,99.0,79
66,3,2048,512,256,0.5,2,0 days 00:00:00.046189,0 days 00:00:45.030265,79.2,80.0,42
67,3,2048,512,256,0.5,3,0 days 00:00:00.046189,0 days 00:01:38.230099,87.2,87.4,66
68,3,2048,512,256,0.5,5,0 days 00:00:00.046189,0 days 00:01:52.428133,96.0,96.2,80
69,3,2048,512,384,0.25,2,0 days 00:00:00.045198,0 days 00:01:17.288084,84.0,84.6,55
70,3,2048,512,384,0.25,3,0 days 00:00:00.045198,0 days 00:02:00.260963,92.4,92.8,80
71,3,2048,512,384,0.25,5,0 days 00:00:00.045198,0 days 00:01:43.039644,94.2,94.4,77
72,3,2048,1024,256,0.75,2,0 days 00:00:00.045271,0 days 00:00:41.093111,80.6,81.8,44
73,3,2048,1024,256,0.75,3,0 days 00:00:00.045271,0 days 00:00:51.842824,83.2,83.8,40
74,3,2048,1024,256,0.75,5,0 days 00:00:00.045271,0 days 00:01:43.536927,92.8,93.4,68
75,3,2048,1024,512,0.5,2,0 days 00:00:00.041445,0 days 00:00:55.165974,84.6,85.4,45
76,3,2048,1024,512,0.5,3,0 days 00:00:00.041445,0 days 00:01:54.709429,93.8,94.6,80
77,3,2048,1024,512,0.5,5,0 days 00:00:00.041445,0 days 00:01:31.395082,92.8,93.6,75
78,3,2048,1024,768,0.25,2,0 days 00:00:00.039287,0 days 00:01:42.982368,89.6,90.2,69
79,3,2048,1024,768,0.25,3,0 days 00:00:00.039287,0 days 00:02:03.930001,95.8,96.0,80
80,3,2048,1024,768,0.25,5,0 days 00:00:00.039287,0 days 00:01:26.395773,93.4,94.2,64
81,3,2048,2048,512,0.75,2,0 days 00:00:00.041052,0 days 00:00:48.930332,81.4,83.6,41
82,3,2048,2048,512,0.75,3,0 days 00:00:00.041052,0 days 00:02:05.559715,95.4,95.4,80
83,3,2048,2048,512,0.75,5,0 days 00:00:00.041052,0 days 00:01:33.658945,93.4,93.8,68
84,3,2048,2048,1024,0.5,2,0 days 00:00:00.038983,0 days 00:00:46.592691,86.8,87.8,54
85,3,2048,2048,1024,0.5,3,0 days 00:00:00.038983,0 days 00:02:06.788705,95.8,96.0,80
86,3,2048,2048,1024,0.5,5,0 days 00:00:00.038983,0 days 00:01:30.270563,94.8,95.4,67
87,3,2048,2048,1536,0.25,2,0 days 00:00:00.038650,0 days 00:01:53.354205,92.4,92.4,80
88,3,2048,2048,1536,0.25,3,0 days 00:00:00.038650,0 days 00:01:42.761021,93.2,93.4,67
89,3,2048,2048,1536,0.25,5,0 days 00:00:00.038650,0 days 00:01:11.593619,93.4,94.2,61
90,3,4096,256,64,0.75,2,0 days 00:00:00.105376,0 days 00:00:27.917413,70.2,76.2,35
91,3,4096,256,64,0.75,3,0 days 00:00:00.105376,0 days 00:02:22.400050,91.6,92.8,69
92,3,4096,256,64,0.75,5,0 days 00:00:00.105376,0 days 00:01:21.417846,85.0,86.0,47
93,3,4096,256,128,0.5,2,0 days 00:00:00.073785,0 days 00:01:02.615242,69.8,78.4,42
94,3,4096,256,128,0.5,3,0 days 00:00:00.073785,0 days 00:02:08.900853,91.6,93.0,67
95,3,4096,256,128,0.5,5,0 days 00:00:00.073785,0 days 00:02:11.053457,98.6,98.6,80
96,3,4096,256,192,0.25,2,0 days 00:00:00.061428,0 days 00:00:39.596518,65.0,76.0,32
