,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
0,3,256,256,64,0.75,2,0 days 00:00:00.074731,0 days 00:00:17.963057,53.2,58.4,28
1,3,256,256,64,0.75,3,0 days 00:00:00.074731,0 days 00:00:29.931553,52.6,63.0,38
2,3,256,256,64,0.75,5,0 days 00:00:00.074731,0 days 00:00:37.017430,49.0,63.6,37
3,3,256,256,128,0.5,2,0 days 00:00:00.067458,0 days 00:00:21.006543,57.4,61.8,31
4,3,256,256,128,0.5,3,0 days 00:00:00.067458,0 days 00:00:31.964320,51.2,63.4,49
5,3,256,256,128,0.5,5,0 days 00:00:00.067458,0 days 00:00:31.547353,70.8,70.8,43
6,3,256,256,192,0.25,2,0 days 00:00:00.067399,0 days 00:00:19.929435,64.4,63.2,30
7,3,256,256,192,0.25,3,0 days 00:00:00.067399,0 days 00:00:18.187422,53.2,61.0,25
8,3,256,256,192,0.25,5,0 days 00:00:00.067399,0 days 00:00:33.311900,64.2,66.8,46
9,3,512,256,64,0.75,2,0 days 00:00:00.079129,0 days 00:00:34.446388,47.2,60.4,39
10,3,512,256,64,0.75,3,0 days 00:00:00.079129,0 days 00:00:27.704860,43.0,57.0,32
11,3,512,256,64,0.75,5,0 days 00:00:00.079129,0 days 00:00:40.852660,63.2,69.4,38
12,3,512,256,128,0.5,2,0 days 00:00:00.071617,0 days 00:00:19.431368,50.2,59.8,27
13,3,512,256,128,0.5,3,0 days 00:00:00.071617,0 days 00:00:38.526355,44.2,64.4,52
14,3,512,256,128,0.5,5,0 days 00:00:00.071617,0 days 00:00:40.885548,35.0,61.8,51
15,3,512,256,192,0.25,2,0 days 00:00:00.069493,0 days 00:00:30.073416,56.0,64.6,42
16,3,512,256,192,0.25,3,0 days 00:00:00.069493,0 days 00:00:35.926903,51.2,62.6,48
17,3,512,256,192,0.25,5,0 days 00:00:00.069493,0 days 00:00:33.947699,49.2,64.6,44
18,3,512,512,128,0.75,2,0 days 00:00:00.069923,0 days 00:00:21.436706,52.4,59.4,30
19,3,512,512,128,0.75,3,0 days 00:00:00.069923,0 days 00:00:33.146248,37.8,59.8,41
20,3,512,512,128,0.75,5,0 days 00:00:00.069923,0 days 00:00:36.830110,38.6,61.2,45
21,3,512,512,256,0.5,2,0 days 00:00:00.068038,0 days 00:00:15.906025,35.0,56.4,27
22,3,512,512,256,0.5,3,0 days 00:00:00.068038,0 days 00:00:41.309568,48.6,64.0,55
23,3,512,512,256,0.5,5,0 days 00:00:00.068038,0 days 00:00:34.443279,50.0,65.2,48
24,3,512,512,384,0.25,2,0 days 00:00:00.067227,0 days 00:00:21.760803,24.2,55.0,32
25,3,512,512,384,0.25,3,0 days 00:00:00.067227,0 days 00:00:40.022472,44.2,63.0,51
26,3,512,512,384,0.25,5,0 days 00:00:00.067227,0 days 00:00:39.953184,46.4,64.4,52
27,3,1024,256,64,0.75,2,0 days 00:00:00.090879,0 days 00:00:28.666064,58.4,66.2,36
28,3,1024,256,64,0.75,3,0 days 00:00:00.090879,0 days 00:00:34.471090,41.2,61.8,38
29,3,1024,256,64,0.75,5,0 days 00:00:00.090879,0 days 00:00:58.104184,45.6,63.8,56
30,3,1024,256,128,0.5,2,0 days 00:00:00.075746,0 days 00:00:27.044908,64.0,60.2,39
31,3,1024,256,128,0.5,3,0 days 00:00:00.075746,0 days 00:00:43.954543,43.0,62.4,50
32,3,1024,256,128,0.5,5,0 days 00:00:00.075746,0 days 00:00:34.156436,60.2,69.0,44
33,3,1024,256,192,0.25,2,0 days 00:00:00.072033,0 days 00:00:26.974301,52.2,63.2,43
34,3,1024,256,192,0.25,3,0 days 00:00:00.072033,0 days 00:00:34.074750,36.8,61.2,38
35,3,1024,256,192,0.25,5,0 days 00:00:00.072033,0 days 00:00:40.627472,58.0,68.8,47
36,3,1024,512,128,0.75,2,0 days 00:00:00.075960,0 days 00:00:18.426687,64.0,59.2,28
37,3,1024,512,128,0.75,3,0 days 00:00:00.075960,0 days 00:00:36.576191,32.6,59.0,41
38,3,1024,512,128,0.75,5,0 days 00:00:00.075960,0 days 00:00:48.375995,38.0,61.8,62
39,3,1024,512,256,0.5,2,0 days 00:00:00.069521,0 days 00:00:29.446980,42.6,61.8,42
40,3,1024,512,256,0.5,3,0 days 00:00:00.069521,0 days 00:00:46.189512,37.0,61.0,55
41,3,1024,512,256,0.5,5,0 days 00:00:00.069521,0 days 00:00:38.168986,69.2,71.6,50
42,3,1024,512,384,0.25,2,0 days 00:00:00.068124,0 days 00:00:16.785138,59.2,62.0,28
43,3,1024,512,384,0.25,3,0 days 00:00:00.068124,0 days 00:00:44.429211,50.6,61.8,56
44,3,1024,512,384,0.25,5,0 days 00:00:00.068124,0 days 00:00:40.863165,70.0,72.8,54
45,3,1024,1024,256,0.75,2,0 days 00:00:00.070880,0 days 00:00:27.570165,40.4,59.6,37
46,3,1024,1024,256,0.75,3,0 days 00:00:00.070880,0 days 00:00:35.178592,47.4,62.6,44
47,3,1024,1024,256,0.75,5,0 days 00:00:00.070880,0 days 00:00:40.525144,57.8,68.4,55
48,3,1024,1024,512,0.5,2,0 days 00:00:00.067897,0 days 00:00:21.897866,28.2,57.8,36
49,3,1024,1024,512,0.5,3,0 days 00:00:00.067897,0 days 00:00:40.659749,35.0,59.0,55
50,3,1024,1024,512,0.5,5,0 days 00:00:00.067897,0 days 00:00:41.453056,55.4,66.4,54
51,3,1024,1024,768,0.25,2,0 days 00:00:00.065881,0 days 00:00:26.218929,24.8,56.8,38
52,3,1024,1024,768,0.25,3,0 days 00:00:00.065881,0 days 00:00:50.953751,53.4,67.0,55
53,3,1024,1024,768,0.25,5,0 days 00:00:00.065881,0 days 00:00:38.185276,39.6,62.0,55
54,3,2048,256,64,0.75,2,0 days 00:00:00.116590,0 days 00:00:24.295099,57.2,64.0,29
55,3,2048,256,64,0.75,3,0 days 00:00:00.116590,0 days 00:00:31.284271,51.4,62.4,32
56,3,2048,256,64,0.75,5,0 days 00:00:00.116590,0 days 00:00:47.617586,53.6,66.0,45
57,3,2048,256,128,0.5,2,0 days 00:00:00.088955,0 days 00:00:37.332366,54.2,61.2,39
58,3,2048,256,128,0.5,3,0 days 00:00:00.088955,0 days 00:00:36.690744,43.2,62.2,36
59,3,2048,256,128,0.5,5,0 days 00:00:00.088955,0 days 00:00:46.000487,65.4,71.0,47
60,3,2048,256,192,0.25,2,0 days 00:00:00.081298,0 days 00:00:37.528808,40.8,62.2,48
61,3,2048,256,192,0.25,3,0 days 00:00:00.081298,0 days 00:00:32.746158,54.4,61.2,37
62,3,2048,256,192,0.25,5,0 days 00:00:00.081298,0 days 00:00:48.370432,57.8,69.8,57
63,3,2048,512,128,0.75,2,0 days 00:00:00.089973,0 days 00:00:25.472455,61.6,61.8,33
64,3,2048,512,128,0.75,3,0 days 00:00:00.089973,0 days 00:00:34.103567,31.8,58.6,39
65,3,2048,512,128,0.75,5,0 days 00:00:00.089973,0 days 00:00:35.304250,44.8,63.6,39
66,3,2048,512,256,0.5,2,0 days 00:00:00.077440,0 days 00:00:28.468020,46.4,59.8,36
67,3,2048,512,256,0.5,3,0 days 00:00:00.077440,0 days 00:00:48.756388,42.4,63.6,55
68,3,2048,512,256,0.5,5,0 days 00:00:00.077440,0 days 00:00:33.598620,65.2,68.4,42
69,3,2048,512,384,0.25,2,0 days 00:00:00.071951,0 days 00:00:34.645020,45.0,63.2,42
70,3,2048,512,384,0.25,3,0 days 00:00:00.071951,0 days 00:00:57.428250,44.0,62.4,67
71,3,2048,512,384,0.25,5,0 days 00:00:00.071951,0 days 00:00:56.119423,70.8,73.6,67
72,3,2048,1024,256,0.75,2,0 days 00:00:00.075878,0 days 00:00:30.822718,30.4,57.2,37
73,3,2048,1024,256,0.75,3,0 days 00:00:00.075878,0 days 00:00:41.139399,60.2,67.6,42
74,3,2048,1024,256,0.75,5,0 days 00:00:00.075878,0 days 00:00:42.183055,55.6,67.2,50
75,3,2048,1024,512,0.5,2,0 days 00:00:00.068277,0 days 00:00:36.417943,41.0,61.2,45
76,3,2048,1024,512,0.5,3,0 days 00:00:00.068277,0 days 00:00:38.049187,27.0,58.2,41
77,3,2048,1024,512,0.5,5,0 days 00:00:00.068277,0 days 00:00:40.443654,65.4,70.8,43
78,3,2048,1024,768,0.25,2,0 days 00:00:00.069176,0 days 00:00:31.246751,54.8,66.0,42
79,3,2048,1024,768,0.25,3,0 days 00:00:00.069176,0 days 00:00:41.281510,53.6,66.0,51
