,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
0,3,256,256,64,0.75,2,0 days 00:00:00.651059,0 days 00:00:43.339052,89.0,89.0,80
1,3,256,256,64,0.75,3,0 days 00:00:00.651059,0 days 00:00:44.404337,90.0,90.0,55
2,3,256,256,64,0.75,5,0 days 00:00:00.651059,0 days 00:01:06.271249,92.0,92.0,80
3,3,256,256,128,0.5,2,0 days 00:00:00.059708,0 days 00:00:40.376438,88.0,88.0,53
4,3,256,256,128,0.5,3,0 days 00:00:00.059708,0 days 00:00:41.438093,89.0,88.0,59
5,3,256,256,128,0.5,5,0 days 00:00:00.059708,0 days 00:00:58.380752,90.0,90.0,80
6,3,256,256,192,0.25,2,0 days 00:00:00.058590,0 days 00:00:19.128839,87.0,86.0,37
7,3,256,256,192,0.25,3,0 days 00:00:00.058590,0 days 00:00:46.121620,90.0,89.0,61
8,3,256,256,192,0.25,5,0 days 00:00:00.058590,0 days 00:00:34.670271,89.0,89.0,49
9,3,512,256,64,0.75,2,0 days 00:00:00.065918,0 days 00:00:51.970626,82.0,83.0,54
10,3,512,256,64,0.75,3,0 days 00:00:00.065918,0 days 00:00:39.835180,88.0,87.0,55
11,3,512,256,64,0.75,5,0 days 00:00:00.065918,0 days 00:00:32.738727,90.0,89.0,50
12,3,512,256,128,0.5,2,0 days 00:00:00.059252,0 days 00:00:31.088416,86.0,85.0,44
13,3,512,256,128,0.5,3,0 days 00:00:00.059252,0 days 00:00:32.985831,89.0,89.0,36
14,3,512,256,128,0.5,5,0 days 00:00:00.059252,0 days 00:00:19.732995,89.0,89.0,28
15,3,512,256,192,0.25,2,0 days 00:00:00.059297,0 days 00:00:26.102959,88.0,87.0,34
16,3,512,256,192,0.25,3,0 days 00:00:00.059297,0 days 00:00:40.571527,87.0,87.0,39
17,3,512,256,192,0.25,5,0 days 00:00:00.059297,0 days 00:00:37.349537,90.0,89.0,54
18,3,512,512,128,0.75,2,0 days 00:00:00.060705,0 days 00:00:37.804467,88.0,87.0,45
19,3,512,512,128,0.75,3,0 days 00:00:00.060705,0 days 00:00:44.997740,89.0,88.0,54
20,3,512,512,128,0.75,5,0 days 00:00:00.060705,0 days 00:00:21.445113,89.0,89.0,23
21,3,512,512,256,0.5,2,0 days 00:00:00.058125,0 days 00:00:37.169467,89.0,89.0,42
22,3,512,512,256,0.5,3,0 days 00:00:00.058125,0 days 00:00:41.743179,87.0,86.0,52
23,3,512,512,256,0.5,5,0 days 00:00:00.058125,0 days 00:00:31.366061,92.0,92.0,46
24,3,512,512,384,0.25,2,0 days 00:00:00.055671,0 days 00:00:18.822598,89.0,88.0,33
25,3,512,512,384,0.25,3,0 days 00:00:00.055671,0 days 00:00:28.313046,89.0,88.0,40
26,3,512,512,384,0.25,5,0 days 00:00:00.055671,0 days 00:00:33.558491,89.0,89.0,51
27,3,1024,256,64,0.75,2,0 days 00:00:00.072654,0 days 00:00:36.744069,84.0,84.0,37
28,3,1024,256,64,0.75,3,0 days 00:00:00.072654,0 days 00:00:27.346224,88.0,87.0,37
29,3,1024,256,64,0.75,5,0 days 00:00:00.072654,0 days 00:00:16.074184,88.0,87.0,24
30,3,1024,256,128,0.5,2,0 days 00:00:00.063877,0 days 00:00:23.479879,84.0,85.0,41
31,3,1024,256,128,0.5,3,0 days 00:00:00.063877,0 days 00:00:23.467726,88.0,87.0,31
32,3,1024,256,128,0.5,5,0 days 00:00:00.063877,0 days 00:00:20.584270,88.0,87.0,27
33,3,1024,256,192,0.25,2,0 days 00:00:00.060488,0 days 00:00:27.772317,86.0,85.0,41
34,3,1024,256,192,0.25,3,0 days 00:00:00.060488,0 days 00:00:30.133427,88.0,87.0,36
35,3,1024,256,192,0.25,5,0 days 00:00:00.060488,0 days 00:00:18.812041,89.0,88.0,23
36,3,1024,512,128,0.75,2,0 days 00:00:00.063436,0 days 00:00:25.156826,88.0,88.0,35
37,3,1024,512,128,0.75,3,0 days 00:00:00.063436,0 days 00:00:34.171505,89.0,88.0,46
38,3,1024,512,128,0.75,5,0 days 00:00:00.063436,0 days 00:00:19.370872,89.0,88.0,25
39,3,1024,512,256,0.5,2,0 days 00:00:00.060503,0 days 00:00:44.337292,90.0,89.0,54
40,3,1024,512,256,0.5,3,0 days 00:00:00.060503,0 days 00:00:35.279059,88.0,88.0,36
41,3,1024,512,256,0.5,5,0 days 00:00:00.060503,0 days 00:00:22.408576,89.0,89.0,26
42,3,1024,512,384,0.25,2,0 days 00:00:00.057879,0 days 00:00:22.601530,88.0,87.0,31
43,3,1024,512,384,0.25,3,0 days 00:00:00.057879,0 days 00:00:38.806188,90.0,90.0,74
44,3,1024,512,384,0.25,5,0 days 00:00:00.057879,0 days 00:00:23.292427,91.0,91.0,39
45,3,1024,1024,256,0.75,2,0 days 00:00:00.060329,0 days 00:00:29.592437,88.0,87.0,39
