,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
0,3,256,256,64,0.75,2,0 days 00:00:00.042949,0 days 00:01:22.522654,89.0,90.0,80
1,3,256,256,64,0.75,3,0 days 00:00:00.042949,0 days 00:01:10.864138,96.0,96.0,74
2,3,256,256,64,0.75,5,0 days 00:00:00.042949,0 days 00:01:13.287763,97.0,97.0,80
3,3,256,256,128,0.5,2,0 days 00:00:00.041240,0 days 00:01:17.137836,90.0,91.0,80
4,3,256,256,128,0.5,3,0 days 00:00:00.041240,0 days 00:01:12.007932,97.0,97.0,80
5,3,256,256,128,0.5,5,0 days 00:00:00.041240,0 days 00:02:22.535244,99.0,99.0,80
6,3,256,256,192,0.25,2,0 days 00:00:00.037766,0 days 00:01:30.813720,94.0,94.0,80
7,3,256,256,192,0.25,3,0 days 00:00:00.037766,0 days 00:01:37.705401,94.0,94.0,80
8,3,256,256,192,0.25,5,0 days 00:00:00.037766,0 days 00:02:22.526834,97.0,97.0,80
9,3,512,256,64,0.75,2,0 days 00:00:00.045559,0 days 00:00:12.749544,74.0,79.0,21
10,3,512,256,64,0.75,3,0 days 00:00:00.045559,0 days 00:02:22.527109,97.0,97.0,80
11,3,512,256,64,0.75,5,0 days 00:00:00.045559,0 days 00:01:08.856803,97.0,97.0,80
12,3,512,256,128,0.5,2,0 days 00:00:00.040946,0 days 00:00:22.765706,78.0,74.0,62
13,3,512,256,128,0.5,3,0 days 00:00:00.040946,0 days 00:02:22.541058,98.0,98.0,80
14,3,512,256,128,0.5,5,0 days 00:00:00.040946,0 days 00:01:13.904307,99.0,99.0,80
15,3,512,256,192,0.25,2,0 days 00:00:00.039803,0 days 00:01:15.698832,92.0,92.0,80
16,3,512,256,192,0.25,3,0 days 00:00:00.039803,0 days 00:01:47.112158,94.0,94.0,80
17,3,512,256,192,0.25,5,0 days 00:00:00.039803,0 days 00:02:22.517390,96.0,96.0,80
18,3,512,512,128,0.75,2,0 days 00:00:00.040175,0 days 00:01:21.069410,92.0,93.0,80
19,3,512,512,128,0.75,3,0 days 00:00:00.040175,0 days 00:01:39.499982,97.0,97.0,80
20,3,512,512,128,0.75,5,0 days 00:00:00.040175,0 days 00:02:22.512270,99.0,99.0,80
21,3,512,512,256,0.5,2,0 days 00:00:00.037303,0 days 00:00:10.449117,76.0,75.0,21
22,3,512,512,256,0.5,3,0 days 00:00:00.037303,0 days 00:01:29.105940,91.0,91.0,80
23,3,512,512,256,0.5,5,0 days 00:00:00.037303,0 days 00:02:22.548307,98.0,98.0,80
24,3,512,512,384,0.25,2,0 days 00:00:00.036460,0 days 00:01:14.442654,87.0,88.0,80
25,3,512,512,384,0.25,3,0 days 00:00:00.036460,0 days 00:02:22.524039,93.0,94.0,80
26,3,512,512,384,0.25,5,0 days 00:00:00.036460,0 days 00:01:22.529357,94.0,95.0,80
27,3,1024,256,64,0.75,2,0 days 00:00:00.051794,0 days 00:01:51.757749,97.0,97.0,80
28,3,1024,256,64,0.75,3,0 days 00:00:00.051794,0 days 00:01:14.774708,97.0,97.0,66
29,3,1024,256,64,0.75,5,0 days 00:00:00.051794,0 days 00:01:25.045890,97.0,97.0,78
30,3,1024,256,128,0.5,2,0 days 00:00:00.043542,0 days 00:01:26.548666,92.0,92.0,80
31,3,1024,256,128,0.5,3,0 days 00:00:00.043542,0 days 00:02:22.526390,97.0,97.0,80
32,3,1024,256,128,0.5,5,0 days 00:00:00.043542,0 days 00:02:22.514017,99.0,99.0,80
33,3,1024,256,192,0.25,2,0 days 00:00:00.040977,0 days 00:01:22.541014,80.0,79.0,80
34,3,1024,256,192,0.25,3,0 days 00:00:00.040977,0 days 00:02:22.542462,93.0,93.0,80
35,3,1024,256,192,0.25,5,0 days 00:00:00.040977,0 days 00:01:44.232000,97.0,97.0,80
36,3,1024,512,128,0.75,2,0 days 00:00:00.043515,0 days 00:00:13.510249,82.0,83.0,20
37,3,1024,512,128,0.75,3,0 days 00:00:00.043515,0 days 00:01:48.876064,97.0,97.0,80
38,3,1024,512,128,0.75,5,0 days 00:00:00.043515,0 days 00:01:34.734380,99.0,99.0,80
39,3,1024,512,256,0.5,2,0 days 00:00:00.039950,0 days 00:01:22.537012,80.0,82.0,80
40,3,1024,512,256,0.5,3,0 days 00:00:00.039950,0 days 00:02:22.531985,92.0,92.0,80
41,3,1024,512,256,0.5,5,0 days 00:00:00.039950,0 days 00:01:58.198197,97.0,97.0,80
42,3,1024,512,384,0.25,2,0 days 00:00:00.038024,0 days 00:01:03.945248,91.0,90.0,80
43,3,1024,512,384,0.25,3,0 days 00:00:00.038024,0 days 00:01:29.023177,94.0,94.0,80
44,3,1024,512,384,0.25,5,0 days 00:00:00.038024,0 days 00:01:22.566794,96.0,96.0,80
45,3,1024,1024,256,0.75,2,0 days 00:00:00.041456,0 days 00:00:14.201734,84.0,84.0,22
46,3,1024,1024,256,0.75,3,0 days 00:00:00.041456,0 days 00:01:34.440786,90.0,90.0,80
47,3,1024,1024,256,0.75,5,0 days 00:00:00.041456,0 days 00:01:47.056869,97.0,97.0,80
48,3,1024,1024,512,0.5,2,0 days 00:00:00.038156,0 days 00:01:13.637984,91.0,91.0,80
49,3,1024,1024,512,0.5,3,0 days 00:00:00.038156,0 days 00:01:14.776929,95.0,96.0,80
50,3,1024,1024,512,0.5,5,0 days 00:00:00.038156,0 days 00:01:28.132831,94.0,95.0,77
51,3,1024,1024,768,0.25,2,0 days 00:00:00.037792,0 days 00:00:31.628974,91.0,91.0,42
52,3,1024,1024,768,0.25,3,0 days 00:00:00.037792,0 days 00:02:22.883044,97.0,97.0,80
53,3,1024,1024,768,0.25,5,0 days 00:00:00.037792,0 days 00:01:22.705448,94.0,94.0,73
54,3,2048,256,64,0.75,2,0 days 00:00:00.073171,0 days 00:01:22.549553,81.0,82.0,80
55,3,2048,256,64,0.75,3,0 days 00:00:00.073171,0 days 00:01:38.893349,98.0,98.0,80
56,3,2048,256,64,0.75,5,0 days 00:00:00.073171,0 days 00:02:22.525983,98.0,98.0,80
57,3,2048,256,128,0.5,2,0 days 00:00:00.054749,0 days 00:00:11.652258,79.0,76.0,21
58,3,2048,256,128,0.5,3,0 days 00:00:00.054749,0 days 00:01:46.576131,97.0,97.0,80
59,3,2048,256,128,0.5,5,0 days 00:00:00.054749,0 days 00:02:22.566567,99.0,99.0,80
60,3,2048,256,192,0.25,2,0 days 00:00:00.049555,0 days 00:02:22.565512,90.0,90.0,80
61,3,2048,256,192,0.25,3,0 days 00:00:00.049555,0 days 00:02:22.593547,94.0,94.0,80
62,3,2048,256,192,0.25,5,0 days 00:00:00.049555,0 days 00:02:04.464891,96.0,96.0,80
63,3,2048,512,128,0.75,2,0 days 00:00:00.055147,0 days 00:00:09.662509,84.0,85.0,18
64,3,2048,512,128,0.75,3,0 days 00:00:00.055147,0 days 00:02:22.558195,97.0,97.0,80
65,3,2048,512,128,0.75,5,0 days 00:00:00.055147,0 days 00:02:04.945951,99.0,99.0,80
66,3,2048,512,256,0.5,2,0 days 00:00:00.046189,0 days 00:01:58.565362,85.0,85.0,80
67,3,2048,512,256,0.5,3,0 days 00:00:00.046189,0 days 00:01:11.867258,92.0,92.0,80
68,3,2048,512,256,0.5,5,0 days 00:00:00.046189,0 days 00:01:50.937760,97.0,97.0,80
69,3,2048,512,384,0.25,2,0 days 00:00:00.045198,0 days 00:01:53.037225,90.0,90.0,80
70,3,2048,512,384,0.25,3,0 days 00:00:00.045198,0 days 00:01:57.841241,95.0,95.0,80
71,3,2048,512,384,0.25,5,0 days 00:00:00.045198,0 days 00:01:31.778635,95.0,96.0,73
72,3,2048,1024,256,0.75,2,0 days 00:00:00.045271,0 days 00:01:33.047374,86.0,86.0,80
73,3,2048,1024,256,0.75,3,0 days 00:00:00.045271,0 days 00:02:22.535540,92.0,92.0,80
74,3,2048,1024,256,0.75,5,0 days 00:00:00.045271,0 days 00:02:22.545762,98.0,98.0,80
75,3,2048,1024,512,0.5,2,0 days 00:00:00.041445,0 days 00:01:30.350312,90.0,90.0,80
76,3,2048,1024,512,0.5,3,0 days 00:00:00.041445,0 days 00:01:54.279328,95.0,96.0,80
77,3,2048,1024,512,0.5,5,0 days 00:00:00.041445,0 days 00:01:26.372847,94.0,95.0,80
78,3,2048,1024,768,0.25,2,0 days 00:00:00.039287,0 days 00:01:47.749889,94.0,94.0,80
79,3,2048,1024,768,0.25,3,0 days 00:00:00.039287,0 days 00:02:22.867937,98.0,98.0,80
80,3,2048,1024,768,0.25,5,0 days 00:00:00.039287,0 days 00:01:16.394642,95.0,96.0,69
81,3,2048,2048,512,0.75,2,0 days 00:00:00.041052,0 days 00:01:42.624102,92.0,92.0,80
82,3,2048,2048,512,0.75,3,0 days 00:00:00.041052,0 days 00:01:41.922287,96.0,96.0,80
83,3,2048,2048,512,0.75,5,0 days 00:00:00.041052,0 days 00:01:26.562732,95.0,96.0,57
84,3,2048,2048,1024,0.5,2,0 days 00:00:00.038983,0 days 00:01:13.679309,92.0,92.0,80
85,3,2048,2048,1024,0.5,3,0 days 00:00:00.038983,0 days 00:02:22.550014,97.0,97.0,80
86,3,2048,2048,1024,0.5,5,0 days 00:00:00.038983,0 days 00:01:28.104423,96.0,96.0,64
87,3,2048,2048,1536,0.25,2,0 days 00:00:00.038650,0 days 00:01:50.380091,94.0,94.0,80
88,3,2048,2048,1536,0.25,3,0 days 00:00:00.038650,0 days 00:02:02.848317,97.0,97.0,80
89,3,2048,2048,1536,0.25,5,0 days 00:00:00.038650,0 days 00:01:21.301728,94.0,95.0,64
90,3,4096,256,64,0.75,2,0 days 00:00:00.105376,0 days 00:01:19.452771,83.0,83.0,80
91,3,4096,256,64,0.75,3,0 days 00:00:00.105376,0 days 00:02:18.636950,97.0,97.0,80
92,3,4096,256,64,0.75,5,0 days 00:00:00.105376,0 days 00:02:10.795255,98.0,98.0,80
93,3,4096,256,128,0.5,2,0 days 00:00:00.073785,0 days 00:02:22.550052,89.0,90.0,80
94,3,4096,256,128,0.5,3,0 days 00:00:00.073785,0 days 00:02:03.889875,98.0,98.0,80
95,3,4096,256,128,0.5,5,0 days 00:00:00.073785,0 days 00:02:22.564854,99.0,99.0,80
96,3,4096,256,192,0.25,2,0 days 00:00:00.061428,0 days 00:02:22.546801,91.0,92.0,80
97,3,4096,256,192,0.25,3,0 days 00:00:00.061428,0 days 00:03:22.550919,95.0,95.0,80
98,3,4096,256,192,0.25,5,0 days 00:00:00.061428,0 days 00:02:22.533898,97.0,97.0,80
99,3,4096,512,128,0.75,2,0 days 00:00:00.072601,0 days 00:01:50.706005,85.0,87.0,80
100,3,4096,512,128,0.75,3,0 days 00:00:00.072601,0 days 00:02:23.609341,98.0,98.0,80
101,3,4096,512,128,0.75,5,0 days 00:00:00.072601,0 days 00:02:02.476929,99.0,99.0,80
102,3,4096,512,256,0.5,2,0 days 00:00:00.055634,0 days 00:00:15.076498,79.0,77.0,20
103,3,4096,512,256,0.5,3,0 days 00:00:00.055634,0 days 00:02:22.587734,91.0,91.0,80
104,3,4096,512,256,0.5,5,0 days 00:00:00.055634,0 days 00:02:04.752029,98.0,98.0,80
105,3,4096,512,384,0.25,2,0 days 00:00:00.050828,0 days 00:02:22.570980,89.0,90.0,80
106,3,4096,512,384,0.25,3,0 days 00:00:00.050828,0 days 00:02:22.560033,95.0,95.0,80
107,3,4096,512,384,0.25,5,0 days 00:00:00.050828,0 days 00:02:22.556628,95.0,96.0,80
108,3,4096,1024,256,0.75,2,0 days 00:00:00.053133,0 days 00:00:13.286905,85.0,85.0,21
109,3,4096,1024,256,0.75,3,0 days 00:00:00.053133,0 days 00:02:26.873551,92.0,92.0,80
110,3,4096,1024,256,0.75,5,0 days 00:00:00.053133,0 days 00:02:06.178890,97.0,97.0,80
111,3,4096,1024,512,0.5,2,0 days 00:00:00.044564,0 days 00:02:22.549364,86.0,87.0,80
