,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
0,3,256,256,64,0.75,2,0 days 00:00:00.074731,0 days 00:00:10.703791,65.0,50.0,16
1,3,256,256,64,0.75,3,0 days 00:00:00.074731,0 days 00:00:29.499449,70.0,65.0,33
2,3,256,256,64,0.75,5,0 days 00:00:00.074731,0 days 00:00:32.943320,71.0,71.0,31
3,3,256,256,128,0.5,2,0 days 00:00:00.067458,0 days 00:01:02.765589,74.0,74.0,80
4,3,256,256,128,0.5,3,0 days 00:00:00.067458,0 days 00:00:35.718741,71.0,68.0,72
5,3,256,256,128,0.5,5,0 days 00:00:00.067458,0 days 00:00:47.562782,72.0,73.0,80
6,3,256,256,192,0.25,2,0 days 00:00:00.067399,0 days 00:00:04.645089,71.0,62.0,12
7,3,256,256,192,0.25,3,0 days 00:00:00.067399,0 days 00:00:32.356883,71.0,69.0,44
8,3,256,256,192,0.25,5,0 days 00:00:00.067399,0 days 00:00:28.681490,72.0,67.0,41
9,3,512,256,64,0.75,2,0 days 00:00:00.079129,0 days 00:00:18.904752,69.0,59.0,25
10,3,512,256,64,0.75,3,0 days 00:00:00.079129,0 days 00:00:33.756941,70.0,61.0,36
11,3,512,256,64,0.75,5,0 days 00:00:00.079129,0 days 00:00:32.635865,71.0,73.0,33
12,3,512,256,128,0.5,2,0 days 00:00:00.071617,0 days 00:00:06.676190,68.0,55.00000000000001,14
13,3,512,256,128,0.5,3,0 days 00:00:00.071617,0 days 00:00:40.396663,73.0,75.0,54
14,3,512,256,128,0.5,5,0 days 00:00:00.071617,0 days 00:01:00.799119,62.0,72.0,79
15,3,512,256,192,0.25,2,0 days 00:00:00.069493,0 days 00:00:09.610768,66.0,61.0,19
16,3,512,256,192,0.25,3,0 days 00:00:00.069493,0 days 00:00:44.658683,75.0,73.0,68
17,3,512,256,192,0.25,5,0 days 00:00:00.069493,0 days 00:00:35.725066,70.0,71.0,40
18,3,512,512,128,0.75,2,0 days 00:00:00.069923,0 days 00:00:11.235437,67.0,54.0,17
19,3,512,512,128,0.75,3,0 days 00:00:00.069923,0 days 00:00:59.308855,61.0,69.0,80
20,3,512,512,128,0.75,5,0 days 00:00:00.069923,0 days 00:00:34.338274,73.0,73.0,43
21,3,512,512,256,0.5,2,0 days 00:00:00.068038,0 days 00:00:07.602881,69.0,56.99999999999999,15
22,3,512,512,256,0.5,3,0 days 00:00:00.068038,0 days 00:00:58.228176,69.0,73.0,80
23,3,512,512,256,0.5,5,0 days 00:00:00.068038,0 days 00:00:39.543378,77.0,75.0,53
24,3,512,512,384,0.25,2,0 days 00:00:00.067227,0 days 00:00:08.939667,69.0,60.0,17
25,3,512,512,384,0.25,3,0 days 00:00:00.067227,0 days 00:01:01.257623,70.0,72.0,78
26,3,512,512,384,0.25,5,0 days 00:00:00.067227,0 days 00:00:37.901618,69.0,72.0,41
27,3,1024,256,64,0.75,2,0 days 00:00:00.090879,0 days 00:00:30.427000,71.0,66.0,36
28,3,1024,256,64,0.75,3,0 days 00:00:00.090879,0 days 00:00:32.367741,64.0,68.0,32
29,3,1024,256,64,0.75,5,0 days 00:00:00.090879,0 days 00:00:51.864855,74.0,72.0,52
30,3,1024,256,128,0.5,2,0 days 00:00:00.075746,0 days 00:00:09.635083,69.0,57.99999999999999,15
31,3,1024,256,128,0.5,3,0 days 00:00:00.075746,0 days 00:00:46.704168,56.99999999999999,67.0,53
32,3,1024,256,128,0.5,5,0 days 00:00:00.075746,0 days 00:00:47.674265,75.0,74.0,65
33,3,1024,256,192,0.25,2,0 days 00:00:00.072033,0 days 00:00:22.711192,65.0,70.0,33
34,3,1024,256,192,0.25,3,0 days 00:00:00.072033,0 days 00:00:34.936464,73.0,72.0,33
35,3,1024,256,192,0.25,5,0 days 00:00:00.072033,0 days 00:01:22.541697,75.0,77.0,80
36,3,1024,512,128,0.75,2,0 days 00:00:00.075960,0 days 00:00:10.163896,68.0,56.99999999999999,18
37,3,1024,512,128,0.75,3,0 days 00:00:00.075960,0 days 00:00:42.402240,64.0,70.0,39
38,3,1024,512,128,0.75,5,0 days 00:00:00.075960,0 days 00:00:42.322863,66.0,71.0,57
39,3,1024,512,256,0.5,2,0 days 00:00:00.069521,0 days 00:01:06.342108,68.0,71.0,80
40,3,1024,512,256,0.5,3,0 days 00:00:00.069521,0 days 00:01:17.487806,74.0,76.0,80
41,3,1024,512,256,0.5,5,0 days 00:00:00.069521,0 days 00:00:30.798033,77.0,75.0,37
42,3,1024,512,384,0.25,2,0 days 00:00:00.068124,0 days 00:00:23.963711,71.0,70.0,32
43,3,1024,512,384,0.25,3,0 days 00:00:00.068124,0 days 00:00:06.367582,67.0,54.0,14
44,3,1024,512,384,0.25,5,0 days 00:00:00.068124,0 days 00:00:55.435200,75.0,76.0,75
45,3,1024,1024,256,0.75,2,0 days 00:00:00.070880,0 days 00:00:50.379560,49.0,64.0,70
46,3,1024,1024,256,0.75,3,0 days 00:00:00.070880,0 days 00:00:46.839285,65.0,71.0,54
47,3,1024,1024,256,0.75,5,0 days 00:00:00.070880,0 days 00:00:56.058481,72.0,74.0,78
48,3,1024,1024,512,0.5,2,0 days 00:00:00.067897,0 days 00:00:44.457873,51.0,65.0,61
49,3,1024,1024,512,0.5,3,0 days 00:00:00.067897,0 days 00:00:39.048049,52.0,61.0,57
50,3,1024,1024,512,0.5,5,0 days 00:00:00.067897,0 days 00:00:33.760591,68.0,71.0,42
51,3,1024,1024,768,0.25,2,0 days 00:00:00.065881,0 days 00:00:15.189899,45.0,59.0,31
52,3,1024,1024,768,0.25,3,0 days 00:00:00.065881,0 days 00:00:45.915979,69.0,73.0,61
53,3,1024,1024,768,0.25,5,0 days 00:00:00.065881,0 days 00:00:54.023637,70.0,74.0,80
54,3,2048,256,64,0.75,2,0 days 00:00:00.116590,0 days 00:00:39.411717,72.0,66.0,44
55,3,2048,256,64,0.75,3,0 days 00:00:00.116590,0 days 00:00:27.773131,73.0,73.0,33
56,3,2048,256,64,0.75,5,0 days 00:00:00.116590,0 days 00:00:54.310668,67.0,70.0,52
57,3,2048,256,128,0.5,2,0 days 00:00:00.088955,0 days 00:00:37.251346,70.0,70.0,45
58,3,2048,256,128,0.5,3,0 days 00:00:00.088955,0 days 00:00:38.385402,68.0,71.0,36
59,3,2048,256,128,0.5,5,0 days 00:00:00.088955,0 days 00:01:00.424324,76.0,73.0,62
